所属产品,所属模块,相关需求,用例标题,步骤,预期,优先级,用例类型,适用阶段,用例状态
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),正确用例覆盖 系统提示修改人员成功,"1.在""登陆账号""框输入:""aa""
2.在""真实姓名""框输入:""啊啊""
3.在""登陆密码""框输入:""123456789""
4.在""确认密码""框输入:""123456789""
5.在""部门选择""框选择:""网络部""
6.在""电话""框输入:""15846152776""
7.在""qq""框输入:""1501880529""
8.在""电子邮箱""框输入:""1501880529@qq.com""
9.在""是否有效框""选择:""有效""
9.点击保存",9.系统提示修改人员成功,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"修改人员的""登录账号""为空 
系统提示""请输入登陆账号""","1.在""登录账号""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请输入登陆账号",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"修改人员的""真实姓名""为空 
系统提示""请输入真实姓名""","1.在""真实姓名""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请输入真实姓名",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"修改人员的""登陆密码""为空 
系统提示""修改人员成功""","1.在""登陆密码""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"修改人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"修改人员的""部门选择""为空 
系统提示""请输入登陆密码""","1.在""部门选择""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"请选择部门",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"修改人员的""电话""为空 
系统提示""修改人员成功""","1.在""电话""框不输入任何值:""""
2.正向用例覆盖
3.点击保存",3.系统提示"修改人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证修改人员的的""登陆密码""为汉字 
系统提示""修改人员成功""","1.在""登陆密码""框不输入任何值:""啊啊""
2.正向用例覆盖
3.点击保存",3.系统提示"修改人员成功",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),验证修改线索的"电话"为10位 修改人员成功,"1.在""电话""框输入:""1234567891""
2.正向用例覆盖
3.点击保存",3.系统提示"修改人员成功",,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),验证修改线索的"客户电话"为12位 修改人员成功,"1.在""电话""框输入:""123456789166""
2.正向用例覆盖
3.点击保存",3.系统提示"修改人员成功",,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""登录账号""为输入超过50位的登录账号
系统自动报错","1.在""登录账号""框输入""至高无上的权限...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,"
功能测试阶段",正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""登陆密码""为输入49位的登陆密码
系统自动报错","1.在""登陆密码""框输入""至高无上的权限...省略51位""
2.正向用例覆盖
3.点击确认修改",3.系统自动报错,,功能测试,功能测试阶段,正常
考勤系统(#76),/系统管理/人员管理(#795),人员管理(#460),"验证""返回""按钮
系统可以返回到人员管理界面",1.点击"返回"按钮,1.系统可以返回到人员管理界面,,功能测试,"
功能测试阶段",正常
